C4,1619201838.4913356,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201838.495334,778,RESET,2.5,0,3,1e-06
C4,1619201838.5053282,778,READ,28039.719590468696,3.566369473751519e-05,6.993075556819555e-06,0.003916122311818951
C4,1619201838.508325,778,SET,1.3,3,0,1e-06
C4,1619201838.5143218,778,READ,8048.942333574365,0.00012423992601223187,2.3231657531263956e-05,0.013009728217507815
C4,1619201838.5413058,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201838.5463023,778,RESET,2.5,0,3,1e-06
C4,1619201838.5533001,778,READ,102529.76247895055,9.753265547701829e-06,1.9400568513370777e-06,0.0010864318367487635
C4,1619201838.5582945,778,SET,1.3,3,0,1e-06
C4,1619201838.57029,778,READ,10149.338725646337,9.85285866430985e-05,1.8675289401487248e-05,0.010458162064832858
C4,1619201838.6002688,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201838.6052656,778,RESET,2.5,0,3,1e-06
C4,1619201838.6172585,778,READ,121114.23117392651,8.256668025774333e-06,1.6437334189037216e-06,0.0009204907145860841
C4,1619201838.6222553,778,SET,1.3,3,0,1e-06
C4,1619201838.6302502,778,READ,9519.095226632515,0.0001050520008668682,1.984305093889079e-05,0.011112108525778843
C4,1619201838.6602314,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201838.6632295,778,RESET,2.5,0,3,1e-06
C4,1619201838.6682265,778,READ,78586.62703612795,1.2724811303331274e-05,2.5269554432017213e-06,0.0014150950481929638
C4,1619201838.6712246,778,SET,1.3,3,0,1e-06
C4,1619201838.6762216,778,READ,8377.218790866737,0.00011937135999005422,2.2378326488368748e-05,0.0125318628334865
C4,1619201838.7032049,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201838.708202,778,RESET,2.5,0,3,1e-06
C4,1619201838.7141993,778,READ,54223.37382988026,1.8442231262432832e-05,3.65074266183502e-06,0.002044415890627611
C4,1619201838.7181957,778,SET,1.3,3,0,1e-06
C4,1619201838.7271905,778,READ,10110.255376291374,9.890946991754606e-05,1.8743693843015906e-05,0.010496468552088908
C4,1619201838.7561736,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201838.7601714,778,RESET,2.5,0,3,1e-06
C4,1619201838.769164,778,READ,32926.983793302985,3.037022784344401e-05,5.972469817959471e-06,0.0033445830980573035
C4,1619201838.7731614,778,SET,1.3,3,0,1e-06
C4,1619201838.7811577,778,READ,8275.317835635211,0.00012084128004048322,2.2636423920523408e-05,0.012676397395493108
C4,1619201838.8091397,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201838.8121388,778,RESET,2.5,0,3,1e-06
C4,1619201838.8181343,778,READ,78272.80402968198,1.277582951571261e-05,2.5370149198891415e-06,0.0014207283551379193
C4,1619201838.8211322,778,SET,1.3,3,0,1e-06
C4,1619201838.826129,778,READ,8510.963011828191,0.00011749551708898753,2.2048375650877158e-05,0.012347090364491208
C4,1619201838.852113,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201838.8571107,778,RESET,2.5,0,3,1e-06
C4,1619201838.8661044,778,READ,100743.82732836163,9.926166461202906e-06,1.9742590707035094e-06,0.0011055850795939652
C4,1619201838.8691025,778,SET,1.3,3,0,1e-06
C4,1619201838.8760977,778,READ,8767.142221566566,0.00011406225366574628,2.1442795150861166e-05,0.012007965284482253
C4,1619201838.9050827,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201838.90708,778,RESET,2.5,0,3,1e-06
C4,1619201838.913075,778,READ,99895.61341695281,1.001044956624987e-05,1.990929060080262e-06,0.0011149202736449467
C4,1619201838.9150736,778,SET,1.3,3,0,1e-06
C4,1619201838.9200704,778,READ,8632.834223333854,0.00011583681258434,2.175607599801451e-05,0.012183402558888124
C4,1619201838.9470556,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201838.9520512,778,RESET,2.5,0,3,1e-06
C4,1619201838.9610453,778,READ,86389.48621832968,1.157548266316492e-05,2.3001861045826206e-06,0.0012881042185662675
C4,1619201838.9640436,778,SET,1.3,3,0,1e-06
C4,1619201838.9720385,778,READ,7759.713335260189,0.00012887074003829413,2.4039289809706555e-05,0.01346200229343567
C4,1619201839.0000248,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201839.003019,778,RESET,2.5,0,3,1e-06
C4,1619201839.0090156,778,READ,81527.64793390129,1.2265777626882504e-05,2.436420156185304e-06,0.0013643952874637703
C4,1619201839.0110145,778,SET,1.3,3,0,1e-06
C4,1619201839.0160134,778,READ,8595.219667572239,0.00011634373973858597,2.1845461634131995e-05,0.012233458515113918
C4,1619201839.0429957,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201839.0469928,778,RESET,2.5,0,3,1e-06
C4,1619201839.0549877,778,READ,113795.84380367902,8.787667164059203e-06,1.7489268003072152e-06,0.0009793990081720405
C4,1619201839.0579853,778,SET,1.3,3,0,1e-06
C4,1619201839.0659811,778,READ,8631.377125921044,0.00011585636746155859,2.1759524961278152e-05,0.012185333978315765
C4,1619201839.0939646,778,ENDURANCE,(2.5, 1.3),3,3,1e-06,50000
C4,1619201839.096961,778,RESET,2.5,0,3,1e-06
C4,1619201839.101958,778,READ,91924.90824518606,1.0878444363879668e-05,2.1625149853615197e-06,0.001211008391802451
C4,1619201839.1049562,778,SET,1.3,3,0,1e-06
